store_id,store_type,region,store_size_sqft
ST01,Supercenter,South,102598
ST02,Discount Store,West,122073
ST03,Supercenter,South,88293
ST04,Supercenter,North,74839
ST05,Neighborhood Market,South,185413
ST06,Supercenter,East,196075
ST07,Discount Store,West,76835
ST08,Supercenter,East,167654
ST09,Supercenter,South,46098
ST10,Neighborhood Market,East,192109
ST11,Supercenter,North,80224
ST12,Neighborhood Market,North,184696
ST13,Supercenter,South,111118
ST14,Neighborhood Market,West,163410
ST15,Discount Store,West,158750
ST16,Discount Store,East,160481
ST17,Discount Store,West,64665
ST18,Supercenter,South,87863
ST19,Supercenter,East,158001
ST20,Discount Store,East,166642
ST21,Supercenter,North,92787
ST22,Neighborhood Market,West,143163
ST23,Supercenter,South,54103
ST24,Discount Store,North,145752
ST25,Supercenter,West,120611
ST26,Neighborhood Market,West,86238
ST27,Neighborhood Market,North,95181
ST28,Supercenter,South,110269
ST29,Discount Store,East,163854
ST30,Neighborhood Market,North,115908
ST31,Neighborhood Market,North,41894
ST32,Neighborhood Market,West,172486
ST33,Supercenter,East,80240
ST34,Supercenter,East,140562
ST35,Supercenter,South,72787
ST36,Supercenter,North,42890
ST37,Discount Store,North,188858
ST38,Supercenter,East,71677
ST39,Supercenter,East,178519
ST40,Discount Store,West,87072
ST41,Neighborhood Market,East,189449
ST42,Supercenter,South,70186
ST43,Discount Store,North,197732
ST44,Neighborhood Market,East,61708
ST45,Supercenter,East,191265
